sale_id,product_id,units_sold,price,region,channel,promotion_type,customer_id
1,1,2,54999,Bhubaneswar,Reliance Digital,,20325
2,1,2,47794,Gandhinagar,Flipkart,Independence Day,5916
3,1,1,46771,Lucknow,Offline,Republic Day,9830
4,1,1,48724,Kolkata,Flipkart,Christmas,23010
5,1,1,45488,Bhubaneswar,Reliance Digital,Diwali,13245
6,1,1,44526,Chandigarh,Flipkart,Big Billion Days,9379
7,1,2,48501,Chandigarh,Reliance Digital,New Year,8743
8,1,1,54999,Gangtok,Reliance Digital,,4605
9,1,2,54999,Bengaluru,Amazon,,13456
10,1,1,51695,Patna,Amazon,Back to School,8548
11,1,1,54999,Amaravati,Amazon,,21738
12,1,1,48891,Hyderabad,Flipkart,Republic Day,13657
13,1,1,45773,Bengaluru,Reliance Digital,Summer Sale,8448
14,1,1,51276,Bhubaneswar,Amazon,New Year,6572
15,1,2,52083,Jaipur,Offline,Summer Sale,23357
16,1,1,49737,Agartala,Reliance Digital,Christmas,19962
17,1,2,54999,Raipur,Flipkart,,4824
18,1,2,54999,Chennai,Reliance Digital,,10199
19,1,1,54999,Aizawl,Reliance Digital,,12129
20,1,1,45116,Bhubaneswar,Reliance Digital,Back to School,10108
21,1,1,54999,Dispur,Amazon,,7384
22,1,1,45505,Imphal,Offline,Back to School,2337
23,1,1,54999,Bhopal,Amazon,,18948
24,1,2,54999,Hyderabad,Flipkart,,3507
25,1,1,49903,Panaji,Flipkart,Christmas,16684
26,2,1,16785,Kohima,Offline,Christmas,9846
27,2,2,17255,Imphal,Offline,Eid,7864
28,2,2,18040,Amaravati,Offline,Back to School,1375
29,2,1,19989,Jaipur,Offline,,5217
30,2,1,16537,Mumbai,Amazon,Christmas,10464
31,2,1,19989,Kolkata,Offline,,4248
32,2,1,19989,Kolkata,Amazon,,24529
33,2,2,16112,Patna,Flipkart,Back to School,17666
34,2,1,18005,Gandhinagar,Flipkart,Summer Sale,5682
35,2,2,19989,Chennai,Amazon,,10955
36,2,1,19989,Kohima,Amazon,,16968
37,2,1,19989,Chandigarh,Flipkart,,21202
38,2,1,19989,Patna,Flipkart,,12486
39,2,1,18240,Patna,Reliance Digital,Eid,16834
40,2,2,18758,Amaravati,Flipkart,Eid,15469
41,2,1,18169,Panaji,Flipkart,Big Billion Days,12045
42,2,2,17084,Shillong,Reliance Digital,Eid,12170
43,2,2,19989,Shillong,Offline,,17821
44,2,1,19989,Srinagar,Reliance Digital,,1864
45,2,2,19989,Thiruvananthapuram,Flipkart,,8151
46,2,1,19989,Raipur,Offline,,5225
47,2,1,19989,Raipur,Flipkart,,4161
48,2,1,16806,Chandigarh,Amazon,New Year,24985
49,2,1,19989,Srinagar,Flipkart,,9949
50,2,2,17361,Dispur,Amazon,Summer Sale,23382
51,3,1,14707,Imphal,Offline,Independence Day,23483
52,3,2,16499,Thiruvananthapuram,Offline,,1352
53,3,1,16499,Bengaluru,Reliance Digital,,6138
54,3,2,13567,Dispur,Offline,Independence Day,15050
55,3,1,15543,Kolkata,Reliance Digital,Dussehra,12176
56,3,1,16499,Itanagar,Offline,,4828
57,3,2,16499,Delhi,Flipkart,,2397
58,3,2,16499,Gangtok,Reliance Digital,,2544
59,3,1,13653,Raipur,Amazon,Summer Sale,15571
60,3,1,13936,Shillong,Amazon,New Year,17078
61,3,2,16499,Chandigarh,Offline,,1143
62,3,1,14744,Thiruvananthapuram,Offline,Christmas,8665
63,3,1,16499,Kohima,Reliance Digital,,18295
64,3,1,16499,Lucknow,Offline,,19893
65,3,1,15497,Srinagar,Amazon,Eid,22962
66,3,2,16499,Shimla,Amazon,,9139
67,3,1,15308,Thiruvananthapuram,Offline,Independence Day,3275
68,3,2,13810,Dehradun,Offline,Republic Day,12465
69,3,1,16499,Imphal,Reliance Digital,,18381
70,3,1,13834,Shimla,Reliance Digital,Dussehra,1267
71,3,1,13493,Patna,Flipkart,Independence Day,19753
72,3,1,16499,Amaravati,Amazon,,14520
73,3,1,16499,Bengaluru,Amazon,,11687
74,3,1,15180,Shimla,Offline,Christmas,24869
75,3,2,16499,Bhubaneswar,Amazon,,9047
76,4,2,14999,Itanagar,Reliance Digital,,12921
77,4,2,14999,Panaji,Offline,,16619
78,4,2,14999,Itanagar,Reliance Digital,,23935
79,4,1,14999,Bengaluru,Reliance Digital,,21439
80,4,1,12856,Shillong,Offline,Dussehra,17456
81,4,1,14999,Dehradun,Amazon,,22453
82,4,2,14999,Lucknow,Amazon,,9922
83,4,1,13020,Dehradun,Reliance Digital,New Year,10627
84,4,1,13280,Gandhinagar,Amazon,Republic Day,24998
85,4,1,14999,Delhi,Flipkart,,19101
86,4,2,12579,Thiruvananthapuram,Flipkart,Dussehra,25299
87,4,2,12056,Panaji,Flipkart,Eid,24678
88,4,1,13105,Gangtok,Amazon,Great Indian Festival,14314
89,4,1,14999,Agartala,Reliance Digital,,16667
90,4,1,14999,Amaravati,Reliance Digital,,24310
91,4,1,14999,Hyderabad,Flipkart,,11451
92,4,2,12423,Srinagar,Reliance Digital,Diwali,7407
93,4,2,13528,Mumbai,Reliance Digital,Christmas,11450
94,4,1,14999,Kohima,Offline,,5121
95,4,1,13998,Shimla,Reliance Digital,New Year,13677
96,4,2,13635,Shimla,Flipkart,Back to School,11075
97,4,1,14205,Bhopal,Flipkart,Christmas,13304
98,4,1,12684,Bengaluru,Amazon,Summer Sale,21619
99,4,1,12956,Raipur,Amazon,Back to School,1238
100,4,2,14999,Jaipur,Flipkart,,6342
101,5,1,24999,Mumbai,Flipkart,,5133
102,5,1,24999,Bhopal,Offline,,16764
103,5,1,24999,Bhubaneswar,Flipkart,,5473
104,5,1,24999,Dispur,Offline,,9964
105,5,1,22501,Imphal,Offline,Christmas,23850
106,5,1,24999,Itanagar,Offline,,18940
107,5,1,24999,Gandhinagar,Flipkart,,6612
108,5,1,24999,Chennai,Amazon,,11259
109,5,2,24999,Kolkata,Reliance Digital,,24443
110,5,1,23601,Dispur,Flipkart,Diwali,13714
111,5,2,21573,Itanagar,Offline,Christmas,20006
112,5,1,23172,Panaji,Amazon,Diwali,5426
113,5,1,20304,Raipur,Amazon,Republic Day,12127
114,5,1,24999,Kohima,Offline,,13629
115,5,1,24999,Imphal,Offline,,8528
116,5,2,22470,Shimla,Reliance Digital,Dussehra,18540
117,5,1,24999,Lucknow,Flipkart,,3718
118,5,1,23374,Gangtok,Amazon,Back to School,11954
119,5,1,22417,Bengaluru,Offline,Back to School,22377
120,5,1,24999,Bhubaneswar,Flipkart,,26102
121,5,1,21070,Agartala,Amazon,Independence Day,12930
122,5,1,24999,Lucknow,Offline,,21501
123,5,2,24999,Mumbai,Amazon,,24470
124,5,1,24999,Hyderabad,Offline,,13279
125,5,1,24999,Amaravati,Reliance Digital,,18087
126,6,1,16999,Hyderabad,Flipkart,,13546
127,6,1,16999,Gangtok,Flipkart,,18553
128,6,1,15424,Dehradun,Offline,Republic Day,20269
129,6,1,16999,Panaji,Reliance Digital,,2901
130,6,1,15323,Dehradun,Amazon,Republic Day,24446
131,6,2,16999,Bhubaneswar,Reliance Digital,,3662
132,6,1,16999,Bengaluru,Amazon,,11077
133,6,2,16999,Bhopal,Flipkart,,24630
134,6,1,16999,Delhi,Offline,,1578
135,6,1,16999,Chandigarh,Reliance Digital,,9434
136,6,1,16999,Shillong,Flipkart,,20374
137,6,1,14243,Ranchi,Offline,New Year,6822
138,6,1,14810,Bengaluru,Amazon,New Year,22728
139,6,1,16999,Mumbai,Offline,,9526
140,6,2,16999,Panaji,Flipkart,,16884
141,6,1,16999,Bhubaneswar,Flipkart,,16849
142,6,1,16999,Patna,Flipkart,,23401
143,6,1,14513,Chandigarh,Flipkart,Back to School,17294
144,6,1,16999,Panaji,Offline,,9282
145,6,2,14889,Ranchi,Offline,Independence Day,19897
146,6,1,15603,Mumbai,Offline,Diwali,6549
147,6,2,15009,Gandhinagar,Reliance Digital,Independence Day,17292
148,6,1,16999,Srinagar,Amazon,,18980
149,6,1,16999,Mumbai,Flipkart,,16615
150,6,1,16999,Patna,Amazon,,8848
151,7,1,65999,Hyderabad,Offline,,17093
152,7,2,65999,Shimla,Amazon,,20046
153,7,1,65999,Agartala,Amazon,,23750
154,7,1,65999,Chandigarh,Flipkart,,23964
155,7,1,65999,Agartala,Amazon,,24093
156,7,1,65999,Ranchi,Reliance Digital,,10870
157,7,1,65999,Chandigarh,Offline,,2340
158,7,2,56626,Ranchi,Flipkart,Independence Day,20354
159,7,2,65999,Itanagar,Reliance Digital,,6482
160,7,2,56843,Patna,Reliance Digital,Summer Sale,4172
161,7,1,65999,Mumbai,Offline,,24278
162,7,1,61922,Jaipur,Amazon,Summer Sale,24151
163,7,2,65999,Panaji,Reliance Digital,,8703
164,7,2,54652,Amaravati,Reliance Digital,Eid,11866
165,7,1,65999,Bhopal,Flipkart,,23100
166,7,1,65999,Itanagar,Offline,,13710
167,7,1,65999,Amaravati,Amazon,,6164
168,7,2,65999,Dispur,Flipkart,,5756
169,7,1,65999,Patna,Flipkart,,18844
170,7,1,54670,Hyderabad,Offline,Eid,4579
171,7,1,56438,Chennai,Offline,Diwali,10160
172,7,1,59304,Bengaluru,Amazon,Summer Sale,22425
173,7,1,65999,Agartala,Amazon,,2888
174,7,1,65999,Shimla,Flipkart,,2171
175,7,2,55587,Srinagar,Flipkart,Big Billion Days,25933
176,8,2,26521,Amaravati,Flipkart,Republic Day,10826
177,8,1,26473,Delhi,Reliance Digital,Republic Day,22833
178,8,2,27303,Aizawl,Offline,Summer Sale,18003
179,8,1,29999,Dispur,Offline,,22585
180,8,1,27470,Raipur,Offline,Summer Sale,15827
181,8,1,29999,Delhi,Reliance Digital,,12045
182,8,1,29999,Kohima,Flipkart,,11613
183,8,1,25991,Srinagar,Amazon,Diwali,1589
184,8,1,29999,Imphal,Offline,,17171
185,8,2,29999,Panaji,Amazon,,18237
186,8,2,26553,Hyderabad,Offline,Eid,3677
187,8,2,29999,Raipur,Flipkart,,1422
188,8,1,24307,Bhubaneswar,Amazon,Eid,10058
189,8,2,27016,Imphal,Offline,Republic Day,4931
190,8,2,28411,Kolkata,Amazon,Dussehra,8838
191,8,1,24917,Srinagar,Amazon,New Year,5812
192,8,1,29999,Bhopal,Offline,,9732
193,8,1,29999,Bengaluru,Offline,,20596
194,8,1,29999,Dispur,Flipkart,,6910
195,8,1,29999,Agartala,Amazon,,20419
196,8,2,29999,Kolkata,Reliance Digital,,21234
197,8,1,25161,Bhopal,Flipkart,Independence Day,24439
198,8,1,24458,Srinagar,Flipkart,Big Billion Days,17283
199,8,2,26091,Imphal,Amazon,New Year,3731
200,8,1,29999,Patna,Flipkart,,12663
201,9,1,26749,Agartala,Offline,,21343
202,9,1,22529,Shillong,Flipkart,Dussehra,4361
203,9,2,26749,Ranchi,Flipkart,,3443
204,9,1,22568,Amaravati,Reliance Digital,Back to School,19852
205,9,2,26749,Srinagar,Reliance Digital,,3896
206,9,2,26749,Shimla,Reliance Digital,,16147
207,9,2,26749,Chennai,Flipkart,,5182
208,9,1,26749,Shimla,Amazon,,5024
209,9,1,25043,Lucknow,Offline,New Year,14075
210,9,2,26749,Amaravati,Reliance Digital,,11414
211,9,1,22412,Mumbai,Flipkart,New Year,14763
212,9,2,26749,Ranchi,Amazon,,24123
213,9,1,26749,Agartala,Reliance Digital,,21407
214,9,1,24373,Dispur,Flipkart,Republic Day,19008
215,9,1,26749,Aizawl,Flipkart,,9988
216,9,1,26749,Bhubaneswar,Amazon,,23006
217,9,1,24054,Delhi,Reliance Digital,Eid,9523
218,9,1,26749,Shimla,Offline,,6975
219,9,1,26749,Bhubaneswar,Amazon,,6369
220,9,1,21580,Itanagar,Offline,Christmas,4660
221,9,2,21502,Panaji,Reliance Digital,Eid,16722
222,9,1,23994,Delhi,Amazon,Independence Day,8033
223,9,2,25375,Patna,Flipkart,New Year,2969
224,9,1,26749,Panaji,Reliance Digital,,25333
225,9,1,23346,Shillong,Reliance Digital,Summer Sale,7476
226,10,1,28999,Bhubaneswar,Amazon,,2722
227,10,1,28999,Chandigarh,Flipkart,,26305
228,10,2,27189,Gandhinagar,Flipkart,Diwali,4779
229,10,1,23860,Dispur,Reliance Digital,Dussehra,24983
230,10,2,28999,Amaravati,Amazon,,1674
231,10,1,28999,Aizawl,Reliance Digital,,25937
232,10,1,28999,Bhopal,Offline,,7361
233,10,1,24991,Imphal,Flipkart,New Year,8160
234,10,1,27101,Chandigarh,Reliance Digital,Back to School,14976
235,10,1,25086,Shillong,Amazon,Independence Day,4653
236,10,1,26206,Ranchi,Amazon,Independence Day,22582
237,10,1,28999,Dehradun,Offline,,15161
238,10,1,28999,Delhi,Reliance Digital,,6061
239,10,1,28999,Gandhinagar,Flipkart,,12298
240,10,1,24287,Patna,Offline,Back to School,19739
241,10,1,23863,Mumbai,Amazon,Great Indian Festival,15633
242,10,1,25311,Bengaluru,Reliance Digital,Christmas,16604
243,10,1,28999,Srinagar,Flipkart,,13353
